
user:sanj123
format : question,answer given,time taken

1.  In linux which option of rm command is used to remove a directory with subdirectories?,timed out
2.  Which represents a root directory?,,2
3.  Which command is used to view hidden file?,,2
4.  which command to delete a single character in vi editor?,a)x ,2
5.  Which command is used to get no of lines in a file?,,2
6.  Which is used to get total number of CLA's?,a)$$,0
7.  How many types of shells are there in the linux?,b)2 ,1
8.  Which is the core part of linux in OS?,c)command ,0
9.  In which of following directory contains device files?,a)dev,0
10.  which command used to create an empty file in linux?,d)touch,3
