
user:abhi123
format : question,answer given,time taken

1.  which command used to create an empty file in linux?,a)mkdir,3
2.  Which is used to get total number of CLA's?,a)$$,0
3.  How many types of shells are there in the linux?,a)1 ,0
4.  In which of following directory contains device files?,a)dev,0
5.  Which represents a root directory?,a)/,0
6.  In linux which option of rm command is used to remove a directory with subdirectories?,a)rmdir,0
7.  Which is the core part of linux in OS?,a)terminal,0
8.  Which command is used to view hidden file?,a)ls-a,0
9.  Which command is used to get no of lines in a file?,a)wc,0
10.  which command to delete a single character in vi editor?,a)x ,0
