
user:mon123
format : question,answer given,time taken

1.  Which command is used to view hidden file?,timed out
2.  Which represents a root directory?,timed out

user:mon123
format : question,answer given,time taken


user:mon123
format : question,answer given,time taken

1.  Which is the core part of linux in OS?,a)terminal,3
2.  Which is used to get total number of CLA's?,b)$0 ,1
3.  Which represents a root directory?,a)/,1
4.  Which command is used to view hidden file?,a)ls-a,1
5.  which command used to create an empty file in linux?,a)mkdir,0
6.  which command to delete a single character in vi editor?,a)x ,0
7.  In linux which option of rm command is used to remove a directory with subdirectories?,a)rmdir,0
8.  How many types of shells are there in the linux?,b)2 ,0
9.  In which of following directory contains device files?,b)bin ,0
10.  Which command is used to get no of lines in a file?,a)wc,0

user:mon123
format : question,answer given,time taken

1.  Which command is used to view hidden file?,a)ls-a,1
2.  Which is the core part of linux in OS?,b)kernel ,0
3.  which command to delete a single character in vi editor?,a)x ,0
4.  In which of following directory contains device files?,a)dev,3
5.  In linux which option of rm command is used to remove a directory with subdirectories?,c)rm-r,3
6.  Which command is used to get no of lines in a file?,b)wc-l ,3
7.  Which is used to get total number of CLA's?,d)$#,3
8.  Which represents a root directory?,a)/,2
9.  which command used to create an empty file in linux?,d)touch,3
10.  How many types of shells are there in the linux?,b)2 ,3

user:mon123
format : question,answer given,time taken

1.  Which command is used to get no of lines in a file?,a)wc,1
2.  Which is used to get total number of CLA's?,d)$#,2
3.  How many types of shells are there in the linux?,b)2 ,2
4.  which command used to create an empty file in linux?,d)touch,2
5.  Which is the core part of linux in OS?,c)command ,3
6.  which command to delete a single character in vi editor?,a)x ,1
7.  Which represents a root directory?,b)@ ,1
8.  In linux which option of rm command is used to remove a directory with subdirectories?,a)rmdir,0
9.  Which command is used to view hidden file?,a)ls-a,2
10.  In which of following directory contains device files?,a)dev,2

user:mon123
format : question,answer given,time taken

1.  In linux which option of rm command is used to remove a directory with subdirectories?,,2
2.  which command to delete a single character in vi editor?,b)s ,1
3.  Which represents a root directory?,a)/,1
4.  Which command is used to view hidden file?,c)ls-l,1
5.  Which is the core part of linux in OS?,a)terminal,0
6.  How many types of shells are there in the linux?,b)2 ,2
7.  which command used to create an empty file in linux?,d)touch,3
8.  Which command is used to get no of lines in a file?,timed out
9.  Which is used to get total number of CLA's?,a)$$,2
10.  In which of following directory contains device files?,a)dev,2

user:mon123
format : question,answer given,time taken

1.  Which is the core part of linux in OS?,a)terminal,3
2.  In linux which option of rm command is used to remove a directory with subdirectories?,a)rmdir,0
3.  Which command is used to get no of lines in a file?,a)wc,0
4.  which command to delete a single character in vi editor?,a)x ,0
5.  How many types of shells are there in the linux?,a)1 ,0
6.  Which represents a root directory?,a)/,0
7.  Which command is used to view hidden file?,a)ls-a,0
8.  Which is used to get total number of CLA's?,a)$$,0
9.  In which of following directory contains device files?,a)dev,0
10.  which command used to create an empty file in linux?,a)mkdir,0

user:mon123
format : question,answer given,time taken

1.  which command used to create an empty file in linux?,d)touch,3
2.  In which of following directory contains device files?,a)dev,3
3.  Which is the core part of linux in OS?,b)kernel ,1
4.  In linux which option of rm command is used to remove a directory with subdirectories?,c)rm-r,2
5.  How many types of shells are there in the linux?,b)2 ,3
6.  which command to delete a single character in vi editor?,a)x ,3
7.  Which command is used to view hidden file?,a)ls-a,1
8.  Which command is used to get no of lines in a file?,b)wc-l ,2
9.  Which represents a root directory?,a)/,2
10.  Which is used to get total number of CLA's?,d)$#,2
